AFFX-r2-Ec-bioD-5_at,37145_at,37965_at,200821_at,200871_s_at,200946_x_at,201173_x_at,201202_at,201389_at,201522_x_at,201609_x_at,202459_s_at,202533_s_at,202635_s_at,202647_s_at,202764_at,203349_s_at,203427_at,203575_at,203625_x_at,203732_at,203781_at,204181_s_at,204433_s_at,204504_s_at,204597_x_at,204699_s_at,204738_s_at,204824_at,205096_at,205127_at,205144_at,205265_s_at,205294_at,205413_at,205457_at,205663_at,205801_s_at,205889_s_at,205981_s_at,206117_at,206287_s_at,206324_s_at,206351_s_at,206522_at,206567_s_at,206617_s_at,206799_at,206817_x_at,206963_s_at,207392_x_at,207473_at,207502_at,207648_at,207775_at,207787_at,207792_at,207897_at,208160_at,208216_at,208240_s_at,208260_at,208288_at,208612_at,208793_x_at,209029_at,209197_at,209393_s_at,209499_x_at,209544_at,210341_at,210626_at,210773_s_at,211124_s_at,211306_s_at,211341_at,211372_s_at,211647_x_at,211685_s_at,211855_s_at,212004_at,212048_s_at,212115_at,212323_s_at,212357_at,212415_at,212420_at,212492_s_at,212527_at,212601_at,212685_s_at,212818_s_at,213108_at,213384_x_at,213485_s_at,213611_at,214221_at,214655_at,214757_at,214796_at,214874_at,215080_s_at,215101_s_at,215157_x_at,215200_x_at,215456_at,215494_at,215687_x_at,215808_at,215833_s_at,216126_at,216320_x_at,216437_at,216727_at,216779_at,216787_at,216866_s_at,216933_x_at,217021_at,217306_at,217393_x_at,217434_at,217512_at,217645_at,217782_s_at,217895_at,217918_at,218379_at,218395_at,218603_at,218652_s_at,218677_at,219424_at,219536_s_at,219620_x_at,219792_at,220380_at,220525_s_at,221071_at,221130_s_at,221186_at,221306_at,221391_at,221525_at,221892_at,221913_at,222086_s_at,222165_x_at,222204_s_at,222294_s_at
11.53704849,2.930985176,7.473186205,9.506283776,12.16064985,8.986806257,9.251259894,7.931753961,8.783816759,11.17931199,8.093618273,9.099658147,2.640535326,8.452533663,6.126830413,6.446990626,8.009263183,8.407815842,7.237056958,7.327247232,7.752240134,10.06503909,8.96057542,4.479948367,7.529539875,5.22705175,6.546800334,7.243383469,6.881150678,6.712664557,5.986920567,6.160555194,6.327315506,7.469682513,4.654567293,7.705839706,6.196966965,6.70969041,4.772978275,7.138179629,5.382954242,5.269698967,7.40526913,5.384322705,4.088497816,8.582292549,5.644727315,3.514551532,7.60843226,5.084255647,6.251743705,6.189636799,0.847947213,8.412789992,2.546361104,5.777674828,5.399526596,4.74993645,4.847210223,5.3420391,6.42888104,8.27159842,5.68673302,11.93388241,6.489530091,8.890647323,7.637986925,7.616644408,8.229765749,4.259649121,0.870233712,4.53018938,6.182324824,5.00014877,3.15595319,4.280963735,4.984384278,6.01799315,7.127045105,6.428559498,6.775366656,9.416107148,10.84762116,8.143969867,7.091720988,6.814153038,8.674065122,7.679318227,8.225356881,7.455475181,10.53777168,8.768518488,6.002443748,7.651697529,8.316933143,6.9354126,6.817405814,2.135291883,3.636555022,6.074501155,5.164927034,3.874678949,3.24371782,12.11238412,9.821050062,6.742316174,4.864394175,6.054664005,6.72949839,6.788476912,8.298676642,9.6490783,6.687466669,4.232330741,2.901367017,4.655231599,3.383196928,3.772645803,3.461738086,3.388288745,6.80816621,4.119903932,5.69682012,7.521019319,7.619838478,8.520968263,9.879586313,8.824169576,7.320809573,9.538683652,9.610399248,10.9252132,4.472006793,6.042648715,8.499212078,6.621310509,5.742243406,9.531677767,6.186950141,0,3.34190607,6.184431063,5.942751416,5.104743409,7.793479761,6.507468015,2.941006747,8.097473852,7.113096194,9.667540915
11.86254825,2.212195777,7.462723108,9.680582812,11.89182546,9.223999262,9.706421766,8.874760087,8.480685201,10.78555055,8.625409316,8.500256319,4.921912326,10.17710804,7.831731597,6.745869247,8.196016816,7.282143229,7.929311676,7.757189968,8.223128073,10.2425906,9.038304479,6.228156823,7.890416292,4.874472397,6.863851747,7.727103604,6.18944506,6.949032937,5.943567406,5.971088257,6.969921766,7.40904295,4.885569484,5.216350093,5.945900276,6.056967127,5.104311496,6.881652385,5.902493299,6.847934288,7.640440175,6.59592878,4.441968103,8.617698866,5.825192861,3.942317441,7.01894568,4.736052801,5.799721973,6.243025421,1.191360508,8.319974626,2.65779547,4.979504081,4.945153512,5.573774412,0.010333673,5.570578293,6.697329024,8.623259662,5.163655713,11.09876246,7.546408336,8.486770677,7.22189641,8.154387767,7.555010855,3.443241954,1.233470894,4.465726378,5.887025602,4.768713657,2.601268636,3.380499508,3.455666522,6.189868037,8.042562264,6.768647501,7.224233259,10.14228579,11.62541206,8.222867338,8.084489525,7.324387596,8.213750674,7.659896024,8.911787439,6.765627564,10.29304625,8.719152631,5.680031737,7.830616612,9.916543821,8.450023491,6.909233072,3.320422579,6.121123184,4.033740139,5.067883906,4.102784089,0.307677988,12.9367373,10.79517925,6.666529378,3.665665638,5.551389892,5.390392546,6.858366491,8.021501936,11.23510474,6.138982348,4.205619285,0.361321448,6.144023929,4.041383179,4.123964106,4.247069234,4.273858992,6.516180656,4.113625496,4.772355487,7.167317781,8.383034623,8.131594629,10.67440415,8.459866001,7.644505257,9.819981057,9.989110617,11.26397922,4.6984352,6.103329777,7.73751777,6.388122361,5.17494565,9.640170811,6.696355555,3.162311563,5.159879408,6.494702009,5.648525842,4.706000012,8.026523443,7.012814465,3.739178433,8.118790568,8.074537547,9.169301202
11.66791873,1.57413058,7.754680434,8.9347848,12.28539933,9.592404711,9.930060176,8.596696661,8.977517491,10.93469341,8.579078298,8.795883809,3.396107415,9.014628674,6.324834,6.112691793,8.287093619,7.142433861,7.796072065,7.583631903,8.101639572,8.718043047,8.558654128,5.982448327,7.569437926,5.993941503,6.71860822,7.486625891,6.414160908,6.614764312,6.913009057,5.740717129,7.033334895,6.753283616,4.523825381,6.358088517,6.06485268,6.62084443,5.130276074,6.625967409,6.177150409,7.298530021,7.303314993,5.09492009,3.839929363,8.582747918,6.122658226,4.123566879,7.37949967,5.275580733,7.710544728,6.430241777,3.625480916,8.343447798,4.096244983,5.175855896,5.734200184,5.723435692,0.007470621,5.213078939,7.145616323,8.578176419,4.1164313,10.90586081,6.913392097,8.436761505,7.792978955,7.880465137,8.18899922,4.343350966,2.9719794,4.600816846,5.808228004,5.113817163,2.129536909,4.173886968,4.595587203,6.667012165,7.663821359,6.858453525,7.32951831,9.132414901,9.91874102,7.869926912,7.383168582,7.397785852,8.697050957,7.563142873,7.292468886,7.667849559,10.25681018,8.909200064,6.323422314,7.387896697,8.602398234,7.881988798,7.142842261,1.752714343,3.991762181,4.349485592,6.168906741,4.226338972,4.752454243,12.4219675,10.55155447,6.159604968,4.530070742,5.577522487,6.393908662,6.910145009,8.235492526,7.982748353,6.650794711,4.811023972,0,6.254703632,5.280425595,3.08513398,3.193754399,2.178402329,6.156762665,4.612499946,5.203440019,7.337256165,7.405635044,8.534166681,9.930113414,8.334648717,7.29579648,10.11178774,9.377464336,9.696569427,2.593533051,5.929790998,7.837489176,6.652378934,6.120723101,8.701479748,6.062287961,3.84000996,6.08869921,6.545308939,5.95502911,3.839032419,8.186535222,6.901880564,4.144274833,8.11395569,6.916643835,8.161545102
12.48829708,4.808410794,8.151655903,8.821337122,12.43935042,9.882048426,10.04636009,7.844937958,9.601133782,10.83567937,8.3969087,8.936290473,3.534796213,8.8538834,6.796766453,6.376556071,7.756949883,7.119719295,7.909215068,7.366619466,7.831072846,9.569756894,8.949386104,5.575233658,7.591275487,7.715406077,5.992965519,7.865164121,6.695102986,6.734113454,5.737640798,5.772426752,6.62971652,7.077339147,4.915047573,5.046552175,5.534304439,7.503563406,5.752232104,7.10094612,5.429840217,6.933549034,7.340962764,4.406012775,4.273165244,8.510823496,6.505909979,3.284330527,7.431213425,4.942284594,6.262976171,6.703945089,0.663455749,9.083612288,3.4034368,4.955573194,5.163860971,4.801055159,1.477335392,5.891982933,5.35879008,8.916252699,5.492885056,10.82013108,6.010115169,8.450906053,7.879650635,7.422132062,8.010242756,1.252252148,0.766148186,3.388511937,5.6309267,5.122941853,3.835257128,4.089930284,4.793162387,5.3077673,8.340900472,6.456195042,7.693682091,9.294407086,9.674751932,7.812940977,7.339075014,7.434119442,8.855756162,7.913230514,6.540606984,7.635587537,10.44214523,8.814037648,4.095029841,7.393184497,8.575331242,6.376149705,7.310867219,1.838544408,5.757297994,3.568421312,6.101721503,4.524515074,4.42594934,12.31142762,11.77158851,6.406574084,4.43010459,5.882376493,6.407811594,6.622927423,8.349688156,8.293867043,6.417103131,3.469065438,0.670829461,5.718884902,4.204164198,4.809630524,3.156898139,3.919769108,5.790988322,4.104479245,4.405556763,7.262376778,6.97064662,8.181157227,10.05803232,8.513668387,7.33415706,10.19288457,9.533047396,8.808513765,5.423941152,5.977421896,8.03054024,6.824335082,5.393924102,8.825601209,6.650399819,2.208966666,5.476815857,6.236902025,6.234286709,4.596231508,8.210564203,6.430976009,4.43698132,6.586889315,6.828796576,8.848547831
11.30498439,2.807375532,7.861992572,9.747496497,12.41506832,9.681335057,9.708526966,8.476810997,8.886669026,10.64166343,8.303420029,8.778507573,3.687643025,9.579517712,5.669520056,6.408305961,6.575315356,6.845389686,7.53789396,7.322171529,7.973691627,10.10558118,9.054273281,4.310449191,8.140497491,4.845856324,6.51230591,7.455976492,6.552583033,6.910864551,6.343127074,6.181518041,6.216483967,7.206555319,3.222884915,4.893900936,6.506248067,5.949208072,5.687668217,6.429225949,5.613018839,6.110937384,7.523405133,4.949105329,3.840674713,8.741011859,5.598645093,3.794374275,7.718382177,5.497791175,8.086937647,5.882640604,3.751581549,8.392562145,2.487277956,6.152122562,5.413692235,5.748434397,0,6.257534934,6.647737584,8.825232302,5.130309026,11.27304376,7.035117998,8.242021272,7.627621428,7.424267085,8.696525959,3.885047167,0,4.294311961,6.278153919,5.484927594,1.809072767,3.83489321,4.064822508,6.299583528,6.900383817,6.909377101,7.381819784,9.841119284,9.602179216,8.450563815,7.550215776,7.255141903,7.631097005,6.972302063,7.225824398,7.273870179,10.69255448,8.66833545,5.56219357,7.284310537,8.952135508,6.800848143,6.819706498,3.392071457,4.70877766,5.119820952,5.618024233,4.235083677,4.785874834,12.3588215,11.13941066,7.131404279,4.164770191,6.021632961,6.486178572,6.697315122,8.00953753,9.748275047,6.643400226,3.824034611,0.400128015,6.451221005,4.151444843,4.836545269,3.557495867,3.825124156,6.533979091,4.400455956,5.230222231,7.367886471,7.731868848,8.177394621,10.32664295,8.333338751,6.905916448,9.972434186,9.192167036,11.45099984,4.709842019,6.03943015,7.346637831,7.132669373,6.422806533,8.631602706,6.431176645,2.973506582,5.467840275,6.365585815,6.293335535,2.259622006,8.278272886,6.687088691,4.300306796,8.107227539,7.281930027,7.810533077
12.12675931,3.986420037,8.318230964,8.666000257,11.67099697,8.016156421,9.989053833,7.808462281,8.954469698,10.3658631,8.642369448,6.467719657,3.20138921,8.652120755,6.1148459,6.140584402,8.893923379,8.028204454,7.753945435,8.599626506,8.249355265,9.387944072,8.815450545,5.435528589,7.938197562,6.497209964,6.630797138,7.252731653,5.730873594,6.718772592,6.231685841,5.409306069,6.484442689,7.457865116,4.022296786,5.126254302,6.114989532,5.249725964,5.987166218,6.476112696,6.095025619,6.435000111,6.808861236,5.283473638,3.266859985,8.81062947,5.602863629,4.166233395,7.138210353,5.023809787,6.506487696,6.558965543,3.221465707,9.013998146,3.693085456,4.860421562,5.807280209,5.698185134,0,5.522385366,7.095407573,8.938091678,3.203522242,10.99398564,6.179666299,9.270342053,7.335533277,8.194490941,5.875320549,2.700874681,0.173149186,3.739815706,6.393175914,4.810242573,4.42594934,2.865893087,4.746887795,6.471867019,7.805814796,7.386552314,7.491644692,9.969141854,11.04747159,8.279485225,7.170395804,5.878166201,8.797444295,7.940472175,9.019868678,6.824245965,10.14395712,8.931886897,4.618068295,7.919071876,9.349188327,6.669735463,6.973553879,3.622883509,5.283636612,3.62622885,6.517962227,4.295723025,7.060014949,12.23755356,11.62869159,6.905086099,3.729248212,5.942765489,6.556392627,7.246332074,8.523573717,8.829808343,6.463012596,5.354737766,2.447587131,6.53766415,5.229649444,4.810551071,0.346604077,3.487923619,7.900232849,4.099884283,5.372151152,7.537653279,8.20630134,9.43613893,9.96276156,7.458800301,7.771350806,9.679905808,9.888403841,12.24796014,3.827951096,6.161883652,8.254712134,6.660338247,5.764157695,9.825149603,6.684734597,0.47052333,6.136595406,6.533460562,5.299442495,2.745379335,8.35150466,7.39567979,5.021732888,8.642026414,7.449123878,7.560432195
11.27349258,2.822422204,7.750244714,8.42382605,11.85499302,9.416233848,10.05835709,8.570709583,8.600533662,10.67911058,8.601447678,9.3969087,3.666665711,9.655040499,6.779285989,6.656647954,6.086868668,7.502744305,7.858441092,7.30544163,8.210179404,10.34015053,8.750120746,6.721167561,7.852916465,6.201045686,7.689753426,7.264358147,7.445478421,6.883425316,6.429053505,6.173579205,6.249012923,7.6285549,3.752117007,7.521828112,5.951175124,5.170289637,5.270925068,8.30746951,4.791944272,7.020379964,7.153937037,5.08152285,3.885857409,8.478013194,5.011893649,3.834690993,7.38486144,5.116576853,6.884536871,5.472266801,0,8.051415608,3.543347399,4.654847942,5.055252063,5.532051963,0,5.172519518,6.751075358,7.891425263,4.759651209,11.7339432,7.079324772,8.733625498,7.32647443,8.539856721,8.444397895,3.96820137,2.641925149,4.714882911,6.101725705,5.490679227,2.72144266,3.679851634,3.891010819,5.809517343,6.90037174,7.188667963,6.729688713,10.36963006,10.6267859,7.342288055,7.002409992,7.155870639,8.716418228,6.618571976,8.863384081,7.373543816,10.05172555,8.396420687,3.96386249,7.134498196,8.344042859,6.76879304,7.050338438,2.35366769,4.676882319,4.442465835,4.79763559,3.51163249,4.062121712,12.574629,10.36114327,6.618475071,4.662712519,5.231397846,5.860021711,6.469876211,8.04384754,7.564058008,5.086906872,3.854324855,0.813646174,6.256223788,2.430871332,2.972486803,4.200072711,3.568907674,6.270930673,2.64768521,4.678398729,7.532846806,7.531607595,9.076919788,10.53162514,8.82522276,7.864768059,9.421913338,9.34044655,11.2143009,3.807633129,5.763756803,7.971123904,6.57500972,5.486415121,9.387386237,4.875067384,0,4.986465547,6.679226726,5.381442586,2.351738562,7.954586018,6.954207945,1.475702307,8.358312738,7.828453874,8.801582269
11.33535127,4.687480667,7.666025119,9.020204924,12.0322214,8.595794545,10.18275436,11.01296667,8.807432207,10.08103065,9.266273543,10.03672311,6.701867834,11.10575795,7.680078166,6.795052591,6.645017092,8.099752813,7.914050209,9.457417818,7.986285775,10.26827297,8.528282188,6.900939243,7.703107623,6.86827932,7.438334442,7.285078501,7.221016697,6.849123572,6.80464733,6.643746541,6.725645737,6.685267407,4.402469792,8.482941029,6.113344198,4.739443098,4.578751573,7.953835592,4.453418806,6.543698478,7.487060205,5.893515113,2.472654127,8.404200638,5.082323645,3.402577573,6.988934581,4.748117693,5.344675842,5.730042105,0,8.043962339,4.101952567,5.020973274,4.842264848,5.763512496,1.21E-05,7.813640121,6.528869766,8.084978419,2.142883912,10.69483667,7.705079392,8.306016106,7.87099345,9.971514815,7.26694579,4.475169211,2.073439805,3.569162948,5.520107902,4.620486709,3.371848766,6.292836953,4.458250749,5.696964745,7.771245148,6.487634264,7.499598775,9.527228716,10.42311591,8.131018359,8.022012644,6.80124921,7.684215619,7.334747028,7.415741768,7.12935515,9.871600346,9.220431536,4.841817171,6.988548363,8.084866838,6.523848898,7.544330821,3.63786524,5.173487263,3.950375093,5.699429478,4.667557236,3.717462573,13.10633392,10.11344266,6.61526179,3.797946795,6.255765077,6.356393865,6.995077431,7.843236433,6.966211259,5.929897492,3.994425853,1.933742579,6.076676664,3.878362415,4.129052167,5.178666843,3.850469409,6.994455271,4.65136173,5.349959672,7.83071801,8.886818372,8.855868264,10.81141483,8.317494017,7.792041916,9.40730176,9.316840397,7.261615434,3.643486813,6.175929728,6.541217448,6.294826571,5.705333796,9.704088656,5.694746501,0,6.453665726,6.47030746,5.893109766,2.505530211,7.808932007,6.836833049,4.64651407,8.141708665,7.143158692,6.284780616
11.40118886,2.802846677,7.577496807,7.260166831,11.94309718,9.521376657,9.829581629,8.46829413,8.598744828,8.630656646,9.343318984,10.33108488,5.497925267,10.09303456,6.395470728,6.37881851,8.781910456,6.369171563,8.509624592,7.3587391,7.899399221,10.40776699,8.545771498,6.488182382,8.196616879,6.650732971,8.296971253,7.698781053,7.152031271,6.746568064,6.436030213,6.279989369,5.727158075,7.114002557,4.087420408,6.540084631,5.832125436,5.837849918,4.978342089,7.348577681,4.764754844,6.005741307,6.567022108,6.074049384,4.252574611,8.752156489,6.904989796,4.332521767,6.77267747,5.395487866,5.723624087,5.840652056,1.132399168,8.273539201,2.848093083,4.17105467,4.169251587,5.619069611,0,5.827948557,6.650855012,8.269729819,3.429298603,10.81346857,9.015579524,9.068477349,7.006455123,8.535761378,8.221147238,4.592325469,0.327725299,4.042565547,5.74445445,5.28175388,3.822832102,6.681322757,3.306594727,5.902186964,7.443598364,6.887586194,7.248715086,9.92476946,11.08262143,8.088396048,7.071430183,6.629710693,8.163710049,8.025720954,8.53516649,6.870019418,9.940919916,8.410743889,4.819795895,7.406000866,9.205925175,6.94395648,7.195170401,2.057782963,5.425405592,4.762513595,5.333652715,4.663879695,3.556834025,12.63829562,10.56105878,6.744981799,4.559950613,4.763055637,5.500709651,6.830863757,8.203705267,7.300453237,6.244059327,4.045242,2.5240712,6.903604725,3.496040447,4.738243616,5.577032977,3.207065094,8.195765896,4.485304451,5.450788959,7.408414665,8.396112383,8.62429833,10.47976006,8.398033925,8.04104033,9.193929406,9.244449467,10.3124519,3.637401582,6.235568156,6.362148981,6.140717315,5.482993449,9.011615836,5.953514359,2.390043043,5.307912985,6.511871227,5.354949288,3.208937022,7.571434116,6.816062051,2.763171459,8.877336287,7.487518506,7.827787275
11.29550493,4.195292472,8.684611882,9.338676223,12.17356784,9.650678408,10.27444804,9.749857698,11.28514788,9.816988422,9.194744545,8.134154185,5.407621277,9.572607391,8.340379784,6.472195304,8.253351141,6.96010622,7.66498053,8.48871985,8.360171108,9.902268077,8.728767449,6.838006295,8.113403588,8.743057119,7.118629666,7.227471546,5.256863474,6.719169747,6.22570681,5.903611955,8.556567363,8.321350901,3.415968188,5.71368207,7.049358494,5.236894374,4.818911899,7.141422572,5.666952535,6.253162958,5.631884221,4.725206726,7.575630003,9.065491533,5.905480875,4.416427677,7.365115092,5.54350207,5.764497436,5.829710052,4.197220625,8.430623992,4.305985108,5.280106328,5.541706872,5.948131241,0.000577128,5.242076547,7.247234474,8.801572569,4.647798013,11.0889737,7.170866453,9.417135207,7.788020059,8.532414372,6.821684707,4.485298009,2.009429589,4.398254589,6.096597099,5.154267249,3.771188354,4.628843571,5.686189544,6.00163563,6.385520771,6.827857123,7.942584879,10.18714172,10.3226042,6.937556261,7.669785059,6.130362573,8.207273054,7.278663175,8.542470878,7.213298673,10.02154913,9.7239254,5.953395625,7.937344392,8.520925061,6.605360986,6.662276721,2.871277891,3.160379722,4.123707577,5.529539875,4.445428759,11.50804233,12.44843125,10.43738797,6.973071656,4.672696883,5.08317081,5.944556291,6.681154062,8.629924843,7.476130523,6.403528488,3.381709749,0.744004329,6.385439666,2.869743117,4.800837792,3.783372835,4.130123657,7.353870198,4.502731578,5.287143499,6.881701322,7.674736046,8.470821537,10.39846581,7.728247066,7.471772745,9.286955054,9.37675053,6.894247847,4.201727947,5.950939593,8.338607147,7.341710058,6.224009394,9.731096669,6.430842236,0,5.965802751,6.712788347,5.96046074,3.548683218,8.357164888,6.829240699,4.64651407,8.029651651,6.869266867,8.226474813
