"","mu1","mu2","sigma","delta","pi","BI"
"AFFX-r2-Ec-bioD-5_at",3.74599969167849,11.1897573703435,0.535159916927496,13.9094080913266,0.0675675675675676,3.49129444152097
"37145_at",4.12837966846421,6.78278145361483,1.27665407841471,2.07918639044865,0.739983715296976,0.912020875683893
"37965_at",7.73522912346189,8.1997301591065,0.280313233003575,1.65707851415878,0.620309276989684,0.8041965718601
"200821_at",8.38872479899299,9.54200872807023,0.565126709975815,2.0407528236041,0.0691979595340934,0.517923615311624
"200871_s_at",11.5507138959951,12.3017322965707,0.246315321176403,3.04901212392593,0.0305479437045154,0.524702713486424
"200946_x_at",9.52490874238289,10.0257674741113,0.536226626691206,0.934043008678939,0.433648113116747,0.462891046494851
"201173_x_at",9.77556681223034,10.5836399724578,0.326529567245258,2.47473197310945,0.928211804387645,0.638819598844469
"201202_at",8.89087062221029,9.72814480582812,0.618434785154791,1.3538601057317,0.490413503787164,0.676805620454106
"201389_at",8.89705428882445,10.2966591412687,0.376584071664448,3.71658006207796,0.962686733280172,0.704397202416545
"201522_x_at",9.39409924952164,10.7967664117109,0.47196731321579,2.97195827531373,0.177840017022901,1.13641150214109
"201609_x_at",8.95066568133287,9.34087245806498,0.396708775259316,0.983610146957407,0.610256382138666,0.479698843489108
"202459_s_at",8.68840345540364,10.206579368967,0.647174251751285,2.34585339181077,0.844774314316544,0.849479710483825
"202533_s_at",4.36924943875558,5.71584672353863,0.800670358750246,1.68183731302971,0.437525090789466,0.834328429682858
"202635_s_at",8.74266902286644,10.0072849613559,0.439723896060976,2.875931805885,0.0713250189520745,0.740169873672946
"202647_s_at",6.36734089288449,7.51198938996072,0.713759541480027,1.6036892406408,0.144271458031127,0.563479907651064
"202764_at",6.45167922518082,6.57134888779691,0.36606085408022,0.326911936313907,0.481652721509288,0.163345885132903
"203349_s_at",7.76714938091569,8.40045499949575,0.868742959114106,0.72899079288754,0.482250996013104,0.364265672165163
"203427_at",5.14239440206692,7.35975281915075,0.704414885007272,3.14780176324773,0.0654877465229642,0.778717433617447
"203575_at",7.87780012435481,8.6908984933702,0.330926986344225,2.45703252550584,0.913951421505625,0.689039806181283
"203625_x_at",7.68152341219006,9.10314925399382,0.572287776179795,2.48411009456392,0.800162338699689,0.993341459521618
"203732_at",7.18447973546701,8.15007048309931,0.388448880218297,2.48576015224878,0.112415801365616,0.785195285267907
"203781_at",9.44104078093645,10.3434618408319,0.376967985478227,2.39389310142781,0.195496705858574,0.949376305721056
"204181_s_at",8.47098137818672,9.10183835182156,0.330221362608363,1.91040630639947,0.947424055914334,0.426374758917962
"204433_s_at",5.13883830122954,6.28063134192476,0.66081707616558,1.72785038685822,0.252906987251346,0.75105870820073
"204504_s_at",7.81146493508272,8.63034552326078,0.306954252067537,2.66776101866116,0.935746125197174,0.654147374192759
"204597_x_at",6.2828472434551,8.00698774811113,1.13829459948059,1.51466984508471,0.496220296732632,0.75731328342232
"204699_s_at",6.76810374691825,7.45530458590592,0.456574664235268,1.50512258523737,0.42903776649131,0.744943483580787
"204738_s_at",7.26316946058327,7.51035827696606,0.42437596612999,0.582476002675117,0.398331222950748,0.285153659791175
"204824_at",6.27211444800696,7.34369872082023,0.534778752523215,2.00378991827421,0.683860701829627,0.931698193518549
"205096_at",6.02500726333921,6.55480138963191,0.327735301609223,1.61653054672884,0.0676498287345841,0.405982014153089
"205127_at",5.60567030564049,6.58059498994505,0.355137696031989,2.74520191800971,0.0457718895067937,0.573719772080165
"205144_at",5.98554784398836,6.15438313078196,0.369873660399326,0.456467450564924,0.527728532020526,0.227882490211928
"205265_s_at",6.11921616986942,6.39016459464621,0.545595043311783,0.496610862027135,0.610113231832015,0.242209227496561
"205294_at",7.2095779858235,7.46148668116956,0.392276521843167,0.642171226976379,0.580755033555506,0.31687010122337
"205413_at",3.69056300122052,3.99990863750721,0.784318694574433,0.394413187428287,0.60122463170636,0.193122988034379
"205457_at",5.11854705820607,7.49919574105317,0.725044124593665,3.28345351971687,0.517086846860553,1.64076784161889
"205663_at",5.96014298342598,6.11290446332926,0.307922578521014,0.496103535625769,0.638795402297588,0.238303185545234
"205801_s_at",4.65992470721827,6.29659663903668,0.806034362159747,2.03052377002017,0.106908246740898,0.627424858054573
"205889_s_at",4.99222650043489,5.19373399593366,0.529275079283522,0.380723565846984,0.409418795601129,0.187211903126759
"205981_s_at",7.1711347045484,8.75435023890396,0.650398580337566,2.43422353956223,0.960964060342293,0.47146162592291
"206117_at",5.38911032561686,5.76106890293548,0.669440843148304,0.555625760103524,0.64453223411123,0.26595294621262
"206287_s_at",6.39570037004645,6.57537230768437,0.667605550294536,0.269128885400454,0.578363883528192,0.132901473985604
"206324_s_at",5.9804286478213,6.99485905828764,0.527901085397518,1.92162971156321,0.0966721068841567,0.567862260921098
"206351_s_at",5.53989651130835,5.83774487281602,0.667329975931044,0.446328461556253,0.585728966826369,0.219859490277536
